Node0px,Node0py,Node0pz,Node1px,Node1py,Node1pz,Node2px,Node2py,Node2pz,Node3px,Node3py,Node3pz,Node4px,Node4py,Node4pz,Node5px,Node5py,Node5pz,Node6px,Node6py,Node6pz,Node7px,Node7py,Node7pz,Node8px,Node8py,Node8pz,Node9px,Node9py,Node9pz,Node10px,Node10py,Node10pz
(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m)
195.831,325.7512,-312.4976,177.1843,293.9165,-284.188,158.4698,262.1125,-255.8882,139.691,230.3384,-227.5967,120.8514,198.5927,-199.3133,101.954,166.8736,-171.0381,83.0018,135.18,-142.7704,63.9973,103.5114,-114.5092,44.9423,71.8682,-86.2529,25.8381,40.2509,-58.0004,6.6857,8.66,-29.7503
195.8483,325.7503,-312.725,177.2151,293.9179,-284.4063,158.5124,262.1114,-256.1038,139.7447,230.3324,-227.8129,120.9152,198.582,-199.5303,102.0269,166.8603,-171.2543,83.082,135.1667,-142.984,64.083,103.5004,-114.7189,45.0318,71.8606,-86.4585,25.9304,40.247,-58.2022,6.7804,8.66,-29.9485
195.8795,325.7523,-312.9969,177.2569,293.9262,-284.6608,158.5641,262.1231,-256.3445,139.805,230.3447,-228.0439,120.9831,198.5922,-199.7552,102.1015,166.8667,-171.4756,83.1626,135.169,-143.2024,64.1686,103.4996,-114.9339,45.1216,71.8585,-86.6689,26.0236,40.2454,-58.4063,6.8771,8.66,-30.145
195.9195,325.7436,-313.2953,177.3041,293.9264,-284.9386,158.6184,262.1291,-256.6054,139.866,230.3542,-228.2904,121.0502,198.6035,-199.9898,102.1739,166.878,-171.7005,83.2398,135.1789,-143.4196,64.2504,103.5071,-115.1448,45.2082,71.8631,-86.8736,26.1156,40.2474,-58.6042,6.9757,8.66,-30.3345
195.9588,325.7126,-313.6121,177.3509,293.9074,-285.2308,158.6712,262.1193,-256.8769,139.9241,230.3508,-228.5448,121.1134,198.6041,-200.2299,102.242,166.8813,-171.9281,83.3127,135.1836,-143.636,64.3284,103.512,-115.351,45.292,71.8672,-87.0705,26.2067,40.2496,-58.7919,7.0758,8.66,-30.5122
195.9909,325.6587,-313.9274,177.3899,293.8633,-285.5259,158.7169,262.085,-257.1518,139.9757,230.3254,-228.8012,121.1703,198.5861,-200.4697,102.3041,166.8687,-172.1535,83.3805,135.1748,-143.8488,64.4027,103.5056,-115.552,45.3738,71.8626,-87.2596,26.2973,40.247,-58.968,7.1772,8.66,-30.6733
196.0187,325.5865,-314.2315,177.4221,293.801,-285.8129,158.7549,262.0312,-257.4224,140.0201,230.2795,-229.0554,121.2211,198.5477,-200.708,102.3613,166.8374,-172.3764,83.4443,135.1499,-144.0566,64.4738,103.4867,-115.7449,45.4535,71.8495,-87.4368,26.3873,40.2401,-59.128,7.2796,8.66,-30.8137
196.0383,325.4871,-314.5207,177.4463,293.7129,-286.0858,158.7842,261.9537,-257.6794,140.0553,230.2115,-229.2974,121.2631,198.4883,-200.9352,102.4109,166.7864,-172.5885,83.5021,135.1077,-144.2529,64.5405,103.4539,-115.924,45.5304,71.8269,-87.5971,26.4763,40.2282,-59.2675,7.3828,8.66,-30.9298
196.0471,325.3716,-314.7907,177.462,293.6048,-286.3442,158.8064,261.8551,-257.924,140.084,230.1235,-229.5269,121.2986,198.4114,-201.149,102.4541,166.7205,-172.786,83.5542,135.053,-144.433,64.6029,103.4109,-116.0852,45.6047,71.7967,-87.7371,26.5642,40.2124,-59.3834,7.4867,8.66,-31.0184
196.0476,325.2483,-315.0398,177.4688,293.488,-286.5835,158.8206,261.7455,-258.1521,140.1061,230.0227,-229.7418,121.3287,198.3212,-201.3484,102.4927,166.6424,-172.9678,83.6022,134.9883,-144.5952,64.6619,103.3608,-116.2255,45.6765,71.762,-87.8531,26.6511,40.1944,-59.4722,7.591,8.66,-31.077
196.0419,325.1158,-315.2718,177.4692,293.3626,-286.8053,158.8276,261.6287,-258.3617,140.1207,229.9152,-229.9375,121.3521,198.2239,-201.5285,102.5258,166.557,-173.1298,83.6462,134.9166,-144.7363,64.718,103.3047,-116.3426,45.7466,71.7232,-87.9433,26.7374,40.1743,-59.5324,7.6956,8.66,-31.1041
196.0302,324.9924,-315.478,177.4644,293.238,-287.0088,158.8302,261.5091,-258.5551,140.1311,229.8045,-230.1163,121.371,198.1243,-201.6896,102.5546,166.47,-173.2707,83.6865,134.8434,-144.8543,64.7717,103.247,-116.4349,45.8155,71.683,-88.0064,26.8232,40.1533,-59.5629,7.8006,8.66,-31.0989
196.0139,324.902,-315.6335,177.4526,293.1334,-287.176,158.8261,261.3996,-258.7216,140.1361,229.6973,-230.273,121.3858,198.0251,-201.8299,102.5801,166.3825,-173.3896,83.7241,134.7703,-144.9481,64.8231,103.1902,-116.5002,45.8827,71.6438,-88.0402,26.9084,40.1332,-59.5625,7.9057,8.66,-31.0617
195.9992,324.859,-315.7179,177.4372,293.0659,-287.2857,158.8154,261.3169,-258.8426,140.1339,229.6081,-230.3931,121.3945,197.9367,-201.9394,102.6011,166.3009,-173.4808,83.7586,134.7003,-145.015,64.8727,103.1349,-116.538,45.9491,71.6057,-88.0454,26.9933,40.1135,-59.5322,8.0108,8.66,-30.9936
195.9908,324.8631,-315.7293,177.4245,293.0432,-287.3262,158.8034,261.273,-258.9025,140.1274,229.5502,-230.4613,121.3978,197.8721,-202.0048,102.6171,166.2363,-173.534,83.7895,134.6414,-145.0481,64.9202,103.0863,-116.5449,46.0145,71.5709,-88.0211,27.0781,40.0953,-59.473,8.1161,8.66,-30.8968
195.9874,324.8867,-315.6949,177.4169,293.0515,-287.3074,158.7949,261.2649,-258.8985,140.1221,229.5273,-230.4674,121.3999,197.8384,-202.0137,102.6306,166.1971,-173.5372,83.8177,134.6021,-145.0374,64.9654,103.0519,-116.5132,46.0786,71.5454,-87.9627,27.1623,40.0817,-59.3839,8.2213,8.66,-30.7743
195.9857,324.9052,-315.6414,177.4132,293.0641,-287.2577,158.7916,261.2719,-258.8508,140.122,229.5279,-230.4207,121.4063,197.8323,-201.966,102.647,166.1855,-173.485,83.8474,134.5873,-144.9758,65.0114,103.0371,-116.4368,46.143,71.5334,-87.8668,27.2466,40.075,-59.2649,8.3265,8.66,-30.6299
195.9855,324.9283,-315.5553,177.412,293.0776,-287.18,158.7922,261.2803,-258.7744,140.1273,229.5343,-230.3403,121.419,197.8381,-201.8783,102.6699,166.1904,-173.3882,83.8831,134.591,-144.8688,65.0621,103.0392,-116.3183,46.2107,71.5343,-87.7353,27.3326,40.0751,-59.1187,8.4316,8.66,-30.468
195.9876,324.9621,-315.4286,177.4151,293.1027,-287.0608,158.7979,261.2974,-258.6606,140.1381,229.546,-230.2275,121.4377,197.847,-201.7616,102.6991,166.1988,-173.2635,83.925,134.5993,-144.7339,65.1185,103.0471,-116.1726,46.2827,71.5405,-87.5793,27.421,40.0786,-58.9531,8.5368,8.66,-30.2934
195.9902,324.9908,-315.2841,177.4217,293.1304,-286.9146,158.8097,261.3225,-258.5138,140.1562,229.5669,-230.081,121.4637,197.8631,-201.615,102.7349,166.2105,-173.1153,83.9723,134.6077,-144.5815,65.1789,103.053,-116.014,46.3575,71.5445,-87.4132,27.5109,40.0806,-58.779,8.6421,8.66,-30.111
195.994,325.0164,-315.1249,177.4305,293.1531,-286.7567,158.8251,261.3443,-258.3539,140.1797,229.5879,-229.9179,121.4963,197.8823,-201.4493,102.7774,166.2264,-172.9479,84.0257,134.6194,-144.4129,65.244,103.0606,-115.8435,46.4354,71.5487,-87.2393,27.6023,40.0824,-58.6,8.7475,8.66,-29.9262
196.004,325.0504,-314.9431,177.445,293.1809,-286.5814,158.8456,261.3669,-258.183,140.2077,229.607,-229.7484,121.5335,197.8993,-201.2785,102.825,166.2421,-172.7742,84.0846,134.6336,-144.236,65.3147,103.0724,-115.6639,46.5178,71.5574,-87.0579,27.6965,40.0871,-58.4178,8.8531,8.66,-29.7441
196.0207,325.0883,-314.7542,177.4675,293.2159,-286.395,158.8745,261.3978,-258,140.2438,229.6332,-229.569,121.5777,197.9212,-201.1017,102.8784,166.2605,-172.5984,84.1482,134.6492,-144.0597,65.3891,103.0853,-115.4866,46.6031,71.567,-86.8802,27.7923,40.0924,-58.2411,8.9591,8.66,-29.5696
196.0442,325.1293,-314.5687,177.4973,293.2547,-286.2109,158.9115,261.4345,-257.8168,140.2886,229.6673,-229.3868,121.6305,197.9517,-200.9215,102.9395,166.2863,-172.4212,84.2178,134.6697,-143.8861,65.4674,103.1005,-115.3165,46.6906,71.577,-86.7129,27.8893,40.0975,-58.0763,9.0654,8.66,-29.4077
196.0762,325.1774,-314.3895,177.5356,293.301,-286.0325,158.9565,261.4779,-257.6402,140.3408,229.7073,-229.2123,121.6904,197.9879,-200.7491,103.0074,166.3183,-172.2512,84.2938,134.6968,-143.7192,65.5515,103.1219,-115.1536,46.7827,71.592,-86.5549,27.989,40.1054,-57.9242,9.1723,8.66,-29.2626
196.1133,325.2261,-314.2314,177.5808,293.3518,-285.8692,159.0092,261.5279,-257.4754,140.4006,229.7544,-229.0486,121.7574,198.0309,-200.588,103.0818,166.3564,-172.0932,84.3756,134.7295,-143.5649,65.6406,103.1485,-115.004,46.8787,71.6112,-86.4117,28.0912,40.1157,-57.7894,9.2798,8.66,-29.1383
196.1524,325.2712,-314.1024,177.6291,293.4009,-285.7322,159.0663,261.5791,-257.3326,140.4661,229.8055,-228.9028,121.8307,198.0796,-200.4422,103.1621,166.4005,-171.9503,84.4624,134.7672,-143.4274,65.7335,103.1783,-114.8736,46.9772,71.632,-86.29,28.1949,40.1266,-57.6777,9.3881,8.66,-29.0382
