Node0px,Node0py,Node0pz,Node1px,Node1py,Node1pz,Node2px,Node2py,Node2pz,Node3px,Node3py,Node3pz,Node4px,Node4py,Node4pz,Node5px,Node5py,Node5pz,Node6px,Node6py,Node6pz,Node7px,Node7py,Node7pz,Node8px,Node8py,Node8pz,Node9px,Node9py,Node9pz,Node10px,Node10py,Node10pz,Node11px,Node11py,Node11pz,Node12px,Node12py,Node12pz,Node13px,Node13py,Node13pz,Node14px,Node14py,Node14pz,Node15px,Node15py,Node15pz,Node16px,Node16py,Node16pz,Node17px,Node17py,Node17pz,Node18px,Node18py,Node18pz,Node19px,Node19py,Node19pz,Node20px,Node20py,Node20pz
(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m)
400,692.82,-400,389.5778,673.4289,-400.0055,379.1454,654.0433,-400.0056,368.6677,634.682,-400.0056,358.1518,615.3416,-400.0056,347.6389,595.9995,-400.0056,337.0944,576.6746,-400.0056,326.5136,557.3696,-400.0055,315.9431,538.059,-400.0032,305.3586,518.7677,-399.3319,294.7779,499.5717,-397.2827,284.2484,480.5373,-393.8969,273.7914,461.7469,-389.1831,263.4048,443.2757,-383.2173,253.1672,425.1705,-376.0022,243.0839,407.447,-367.7024,233.1311,390.1342,-358.4339,223.3578,373.2986,-348.1502,213.8114,356.9824,-336.8639,204.519,341.1869,-324.6613,195.47,325.8626,-311.6978
400,692.82,-400,389.6062,673.415,-400.0055,379.1605,654.0378,-400.0056,368.7003,634.6686,-400.0056,358.2052,615.3181,-400.0056,347.673,595.9878,-400.0056,337.1416,576.657,-400.0056,326.5828,557.3412,-400.0055,315.9881,538.045,-400.0029,305.3973,518.7614,-399.2478,294.8192,499.5799,-397.063,284.2733,480.57,-393.5979,273.826,461.7973,-388.7964,263.4853,443.325,-382.7576,253.2582,425.2118,-375.5496,243.1882,407.5,-367.2105,233.2833,390.1913,-357.8847,223.5274,373.3058,-347.6676,213.9622,356.8934,-336.5389,204.6323,341.0041,-324.4884,195.569,325.6596,-311.5595
400,692.82,-400,389.6189,673.4075,-400.0055,379.1918,654.0196,-400.0056,368.7298,634.6505,-400.0056,358.2505,615.2908,-400.0056,347.7329,595.9519,-400.0056,337.1888,576.6274,-400.0056,326.6401,557.3054,-400.0055,316.0513,538.0054,-400.0029,305.4271,518.7383,-399.2842,294.8327,499.5658,-397.0955,284.2978,480.5765,-393.4843,273.8366,461.8221,-388.6405,263.5133,443.3587,-382.5436,253.307,425.2405,-375.318,243.2341,407.5123,-367.0169,233.3423,390.2105,-357.6641,223.631,373.3289,-347.3977,214.0883,356.8856,-336.2953,204.7531,340.9325,-324.3335,195.6775,325.5448,-311.4647
400,692.82,-400,389.6233,673.4053,-400.0055,379.2221,654.0037,-400.0056,368.7737,634.6275,-400.0056,358.2913,615.2697,-400.0056,347.7966,595.9185,-400.0056,337.2599,576.5901,-400.0056,326.6894,557.2802,-400.0055,316.1038,537.9786,-400.0032,305.4724,518.7123,-399.3773,294.8516,499.5509,-397.221,284.3061,480.5665,-393.6153,273.8559,461.8283,-388.6858,263.5043,443.3802,-382.5911,253.3057,425.268,-375.3395,243.2533,407.531,-367.0323,233.3576,390.2094,-357.7202,223.6628,373.3416,-347.4156,214.1725,356.9307,-336.2204,204.8861,341.0072,-324.1812,195.8268,325.6124,-311.3092
400,692.82,-400,389.6387,673.397,-400.0055,379.2402,653.9939,-400.0056,368.8139,634.6057,-400.0056,358.347,615.2394,-400.0056,347.8467,595.8911,-400.0056,337.322,576.5562,-400.0056,326.7481,557.248,-400.0055,316.1366,537.9605,-400.0035,305.5112,518.6885,-399.4537,294.8851,499.5208,-397.3793,284.3138,480.5333,-393.866,273.846,461.7975,-388.9641,263.4914,443.3624,-382.8345,253.2736,425.2597,-375.5859,243.2287,407.5307,-367.2519,233.3555,390.2097,-357.9143,223.6678,373.3476,-347.5932,214.2107,356.9959,-336.2834,204.9853,341.1503,-324.0948,195.9664,325.7884,-311.1548
400,692.82,-400,389.6525,673.3888,-400.0055,379.2632,653.98,-400.0056,368.844,634.5871,-400.0056,358.3953,615.2102,-400.0056,347.8966,595.8603,-400.0056,337.3606,576.5307,-400.0056,326.7935,557.2181,-400.0055,316.1779,537.9321,-400.0036,305.5359,518.6673,-399.4958,294.9129,499.4844,-397.5439,284.3292,480.4855,-394.1268,273.8294,461.7358,-389.346,263.4677,443.297,-383.2375,253.2453,425.2064,-375.9637,243.188,407.4948,-367.6066,233.3289,390.2107,-358.1848,223.6744,373.3935,-347.7589,214.2331,357.0812,-336.3783,205.0232,341.2766,-324.1242,196.0296,325.9379,-311.1384
400,692.82,-400,389.6602,673.3847,-400.0055,379.2887,653.9663,-400.0056,368.8749,634.5706,-400.0056,358.4231,615.1952,-400.0056,347.9361,595.8389,-400.0056,337.3966,576.5112,-400.0056,326.8214,557.2029,-400.0055,316.2196,537.9092,-400.0038,305.5725,518.646,-399.5427,294.9315,499.4662,-397.6576,284.3435,480.4468,-394.3701,273.8381,461.6768,-389.6811,263.4503,443.2181,-383.6776,253.2243,425.1307,-376.4002,243.1668,407.4539,-367.9695,233.305,390.2239,-358.4516,223.667,373.4719,-347.9056,214.2428,357.1853,-336.4734,205.0239,341.3654,-324.2454,196.0326,326.0231,-311.2615
400,692.82,-400,389.6702,673.3791,-400.0055,379.3034,653.9579,-400.0056,368.8968,634.5579,-400.0056,358.4436,615.1831,-400.0056,347.9516,595.8292,-400.0056,337.4238,576.4948,-400.0056,326.8502,557.1854,-400.0055,316.2422,537.8948,-400.0039,305.6051,518.6246,-399.5919,294.9543,499.4451,-397.758,284.3547,480.4195,-394.5424,273.8461,461.6273,-389.9499,263.4512,443.1524,-384.0079,253.2056,425.0622,-376.7644,243.1477,407.4184,-368.2646,233.2883,390.2396,-358.6517,223.6383,373.5158,-348.0714,214.2107,357.2453,-336.6188,205.0045,341.424,-324.3825,196.0233,326.0747,-311.3996
400,692.82,-400,389.6769,673.3753,-400.0055,379.3101,653.9539,-400.0056,368.9032,634.5539,-400.0056,358.4556,615.1759,-400.0056,347.9622,595.8225,-400.0056,337.4356,576.4873,-400.0056,326.8732,557.1715,-400.0055,316.2628,537.8821,-400.004,305.6197,518.6144,-399.6264,294.9807,499.4229,-397.8486,284.3726,480.3978,-394.6572,273.8487,461.6029,-390.1101,263.4492,443.124,-384.1884,253.1951,425.0408,-376.9392,243.1222,407.4024,-368.4457,233.2563,390.2279,-358.8315,223.5988,373.507,-348.2534,214.1628,357.2418,-336.7999,204.9675,341.4483,-324.5195,196.0031,326.1165,-311.5041
400,692.82,-400,389.6745,673.3769,-400.0055,379.3102,653.9545,-400.0056,368.9023,634.5553,-400.0056,358.4557,615.177,-400.0056,347.9723,595.8186,-400.0056,337.4443,576.4843,-400.0056,326.8804,557.1696,-400.0055,316.2805,537.8748,-400.0042,305.6372,518.6068,-399.66,294.9942,499.4164,-397.8967,284.3894,480.3854,-394.7314,273.8541,461.6065,-390.1458,263.4363,443.1433,-384.2078,253.1779,425.0633,-376.9573,243.0942,407.4045,-368.5196,233.2108,390.1927,-358.9909,223.5517,373.4592,-348.4343,214.1223,357.207,-336.9573,204.9226,341.4282,-324.6615,195.9613,326.1135,-311.6243
